command line args: main.py --environment-model CopyModel --env-name HuntMiniPacmanNoFrameskip-v0 --algo i2a --log-interval 10 --num-processes 128 --num-stack 1 --distill-coef 10 --entropy-coef 0.02 --port 5027
Updates 0, num timesteps 640, FPS 695, mean/median reward -2.3/0.0, min/max reward -20.0/0.0, entropy 1.60919, value loss 21.55485, policy loss -1.34010, distill_loss 0.19072, time 0.01534 min
Updates 142410, num timesteps 91143040, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06481, value loss 0.90385, policy loss 0.01202, distill_loss -281.89880, time 1031.87667 min
Updates 142420, num timesteps 91149440, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05090, value loss 0.90308, policy loss -0.00060, distill_loss -278.29193, time 1031.92862 min
Updates 142430, num timesteps 91155840, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04143, value loss 1.31240, policy loss 0.00170, distill_loss -275.57907, time 1031.98124 min
Updates 142440, num timesteps 91162240, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04792, value loss 1.35362, policy loss -0.00096, distill_loss -294.78741, time 1032.03470 min
Updates 142450, num timesteps 91168640, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05885, value loss 1.14650, policy loss -0.03391, distill_loss -290.09744, time 1032.08505 min
Updates 142460, num timesteps 91175040, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04702, value loss 0.83474, policy loss -0.00549, distill_loss -301.42719, time 1032.13736 min
Updates 142470, num timesteps 91181440, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.06425, value loss 0.53298, policy loss -0.01395, distill_loss -288.98035, time 1032.18935 min
Updates 142480, num timesteps 91187840, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07843, value loss 0.49183, policy loss 0.01147, distill_loss -264.88641, time 1032.24240 min
Updates 142490, num timesteps 91194240, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05702, value loss 1.61196, policy loss 0.00569, distill_loss -281.03815, time 1032.29412 min
Updates 142500, num timesteps 91200640, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04763, value loss 0.48915, policy loss 0.00750, distill_loss -289.11334, time 1032.35609 min
Updates 142510, num timesteps 91207040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06280, value loss 0.78471, policy loss 0.02209, distill_loss -270.41797, time 1032.69824 min
Updates 142520, num timesteps 91213440, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06488, value loss 0.51519, policy loss 0.00216, distill_loss -278.03357, time 1032.75351 min
Updates 142530, num timesteps 91219840, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04697, value loss 0.81799, policy loss 0.00289, distill_loss -271.58698, time 1032.80479 min
Updates 142540, num timesteps 91226240, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06382, value loss 0.65256, policy loss 0.00032, distill_loss -283.90994, time 1032.85949 min
Updates 142550, num timesteps 91232640, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.05024, value loss 0.53600, policy loss 0.00147, distill_loss -297.33417, time 1032.91368 min
Updates 142560, num timesteps 91239040, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07182, value loss 0.61607, policy loss -0.01325, distill_loss -294.55939, time 1032.96957 min
Updates 142570, num timesteps 91245440, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05156, value loss 0.93272, policy loss -0.00769, distill_loss -285.36105, time 1033.02200 min
Updates 142580, num timesteps 91251840, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06297, value loss 0.66859, policy loss 0.02013, distill_loss -291.08063, time 1033.07836 min
Updates 142590, num timesteps 91258240, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05907, value loss 0.81259, policy loss 0.02601, distill_loss -278.25574, time 1033.13187 min
Updates 142600, num timesteps 91264640, FPS 1472, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04224, value loss 0.64935, policy loss -0.02152, distill_loss -274.45172, time 1033.22475 min
Updates 142610, num timesteps 91271040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.03749, value loss 0.56904, policy loss 0.00072, distill_loss -285.84961, time 1033.58472 min
Updates 142620, num timesteps 91277440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04791, value loss 0.40907, policy loss 0.00641, distill_loss -293.01721, time 1033.63842 min
Updates 142630, num timesteps 91283840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05860, value loss 0.47288, policy loss -0.00365, distill_loss -261.39975, time 1033.69480 min
Updates 142640, num timesteps 91290240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06131, value loss 0.56851, policy loss 0.00241, distill_loss -261.32190, time 1033.74649 min
Updates 142650, num timesteps 91296640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05348, value loss 0.88001, policy loss -0.00390, distill_loss -271.54083, time 1033.79662 min
Updates 142660, num timesteps 91303040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05319, value loss 0.48331, policy loss -0.00579, distill_loss -281.04547, time 1033.85035 min
Updates 142670, num timesteps 91309440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05371, value loss 1.76281, policy loss -0.08642, distill_loss -285.55194, time 1033.95458 min
Updates 142680, num timesteps 91315840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06957, value loss 0.68843, policy loss 0.01831, distill_loss -262.22778, time 1034.00974 min
Updates 142690, num timesteps 91322240, FPS 1471, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.05426, value loss 0.80293, policy loss -0.00819, distill_loss -270.48816, time 1034.06283 min
Updates 142700, num timesteps 91328640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05795, value loss 1.36661, policy loss -0.05089, distill_loss -277.56635, time 1034.12367 min
Updates 142710, num timesteps 91335040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05307, value loss 0.67986, policy loss -0.00790, distill_loss -260.55914, time 1034.47693 min
Updates 142720, num timesteps 91341440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.08466, value loss 0.87681, policy loss 0.00397, distill_loss -287.15607, time 1034.52891 min
Updates 142730, num timesteps 91347840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05951, value loss 0.54338, policy loss -0.00056, distill_loss -274.80698, time 1034.58243 min
Updates 142740, num timesteps 91354240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05703, value loss 0.98609, policy loss 0.00941, distill_loss -289.89609, time 1034.63950 min
Updates 142750, num timesteps 91360640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04158, value loss 0.82851, policy loss 0.02799, distill_loss -266.71161, time 1034.69333 min
Updates 142760, num timesteps 91367040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05764, value loss 2.45125, policy loss 0.00997, distill_loss -248.59872, time 1034.75230 min
Updates 142770, num timesteps 91373440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05923, value loss 1.28892, policy loss 0.01302, distill_loss -284.42780, time 1034.80635 min
Updates 142780, num timesteps 91379840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03755, value loss 0.80229, policy loss 0.00600, distill_loss -271.98996, time 1034.86007 min
Updates 142790, num timesteps 91386240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07808, value loss 0.70332, policy loss 0.00000, distill_loss -277.81802, time 1034.91557 min
Updates 142800, num timesteps 91392640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03990, value loss 0.61407, policy loss 0.00113, distill_loss -257.89285, time 1034.99614 min
Updates 142810, num timesteps 91399040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06229, value loss 0.98105, policy loss -0.00421, distill_loss -267.61517, time 1035.35135 min
Updates 142820, num timesteps 91405440, FPS 1471, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.04787, value loss 1.21457, policy loss 0.00315, distill_loss -261.51025, time 1035.40644 min
Updates 142830, num timesteps 91411840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04167, value loss 0.77597, policy loss 0.00335, distill_loss -266.04071, time 1035.46447 min
Updates 142840, num timesteps 91418240, FPS 1471, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.03653, value loss 1.26295, policy loss -0.02632, distill_loss -273.27386, time 1035.51825 min
Updates 142850, num timesteps 91424640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04479, value loss 0.53770, policy loss -0.00526, distill_loss -274.13562, time 1035.56998 min
Updates 142860, num timesteps 91431040, FPS 1471, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.05696, value loss 0.87733, policy loss -0.00211, distill_loss -286.48474, time 1035.65043 min
Updates 142870, num timesteps 91437440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07507, value loss 1.30566, policy loss -0.01541, distill_loss -256.12949, time 1035.70218 min
Updates 142880, num timesteps 91443840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.08759, value loss 0.86575, policy loss 0.01309, distill_loss -270.65985, time 1035.75419 min
Updates 142890, num timesteps 91450240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07412, value loss 0.93096, policy loss -0.04496, distill_loss -282.86548, time 1035.80802 min
Updates 142900, num timesteps 91456640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.08318, value loss 0.67217, policy loss 0.01994, distill_loss -265.52435, time 1035.88412 min
Updates 142910, num timesteps 91463040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05389, value loss 0.52451, policy loss 0.00653, distill_loss -260.15787, time 1036.23823 min
Updates 142920, num timesteps 91469440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05864, value loss 0.50418, policy loss 0.00096, distill_loss -289.23254, time 1036.32735 min
Updates 142930, num timesteps 91475840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06293, value loss 0.68664, policy loss 0.01363, distill_loss -264.92731, time 1036.38013 min
Updates 142940, num timesteps 91482240, FPS 1471, mean/median reward -20.2/-20.0, min/max reward -40.0/-20.0, entropy 0.06195, value loss 0.51728, policy loss 0.00251, distill_loss -270.24326, time 1036.43244 min
Updates 142950, num timesteps 91488640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04539, value loss 0.69644, policy loss 0.02638, distill_loss -253.26913, time 1036.48430 min
Updates 142960, num timesteps 91495040, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07951, value loss 0.88260, policy loss 0.01502, distill_loss -285.59369, time 1036.53665 min
Updates 142970, num timesteps 91501440, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.08324, value loss 0.81177, policy loss -0.01480, distill_loss -276.84869, time 1036.59520 min
Updates 142980, num timesteps 91507840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.06726, value loss 0.86817, policy loss 0.00208, distill_loss -295.12631, time 1036.64818 min
Updates 142990, num timesteps 91514240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06933, value loss 0.61556, policy loss 0.00318, distill_loss -270.39111, time 1036.70370 min
Updates 143000, num timesteps 91520640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.08812, value loss 0.78226, policy loss -0.01104, distill_loss -268.67529, time 1036.79319 min
Updates 143010, num timesteps 91527040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.07622, value loss 0.85017, policy loss 0.00730, distill_loss -285.67929, time 1037.13495 min
Updates 143020, num timesteps 91533440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04649, value loss 0.58353, policy loss -0.00001, distill_loss -295.63489, time 1037.18968 min
Updates 143030, num timesteps 91539840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06959, value loss 0.95858, policy loss 0.00857, distill_loss -279.05463, time 1037.24259 min
Updates 143040, num timesteps 91546240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05438, value loss 0.51736, policy loss -0.00947, distill_loss -282.50983, time 1037.29814 min
Updates 143050, num timesteps 91552640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04600, value loss 1.10946, policy loss -0.00085, distill_loss -266.60788, time 1037.35474 min
Updates 143060, num timesteps 91559040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06038, value loss 0.59740, policy loss -0.02097, distill_loss -272.68710, time 1037.40928 min
Updates 143070, num timesteps 91565440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04044, value loss 1.16159, policy loss -0.01114, distill_loss -282.39740, time 1037.46045 min
Updates 143080, num timesteps 91571840, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06162, value loss 0.67761, policy loss 0.00943, distill_loss -278.74408, time 1037.51106 min
Updates 143090, num timesteps 91578240, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07527, value loss 1.04243, policy loss -0.01213, distill_loss -273.61209, time 1037.56609 min
Updates 143100, num timesteps 91584640, FPS 1471, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04877, value loss 0.76650, policy loss 0.00382, distill_loss -282.43985, time 1037.63020 min
Updates 143110, num timesteps 91591040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.03749, value loss 1.03993, policy loss -0.00284, distill_loss -283.35406, time 1037.97356 min
Updates 143120, num timesteps 91597440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.06284, value loss 0.67950, policy loss -0.00730, distill_loss -276.30826, time 1038.02785 min
Updates 143130, num timesteps 91603840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.05864, value loss 1.90239, policy loss -0.00897, distill_loss -273.47549, time 1038.07908 min
Updates 143140, num timesteps 91610240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.05646, value loss 1.45137, policy loss 0.00759, distill_loss -258.11029, time 1038.13145 min
Updates 143150, num timesteps 91616640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05902, value loss 0.70049, policy loss -0.02729, distill_loss -261.38263, time 1038.18345 min
Updates 143160, num timesteps 91623040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04915, value loss 0.59735, policy loss -0.00759, distill_loss -277.23248, time 1038.23819 min
Updates 143170, num timesteps 91629440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.07744, value loss 0.95311, policy loss -0.00588, distill_loss -257.70691, time 1038.28926 min
Updates 143180, num timesteps 91635840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.04470, value loss 0.83144, policy loss -0.01326, distill_loss -278.71381, time 1038.34052 min
Updates 143190, num timesteps 91642240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03874, value loss 0.60978, policy loss -0.00342, distill_loss -280.44025, time 1038.39255 min
Updates 143200, num timesteps 91648640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05178, value loss 0.49923, policy loss -0.00101, distill_loss -254.58066, time 1038.46452 min
Updates 143210, num timesteps 91655040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03807, value loss 0.66742, policy loss -0.00015, distill_loss -267.03134, time 1038.81698 min
Updates 143220, num timesteps 91661440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03463, value loss 0.86359, policy loss 0.00425, distill_loss -269.91266, time 1038.86916 min
Updates 143230, num timesteps 91667840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05295, value loss 0.57176, policy loss -0.02067, distill_loss -273.63025, time 1038.92401 min
Updates 143240, num timesteps 91674240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07055, value loss 2.16495, policy loss 0.00147, distill_loss -279.48001, time 1038.97514 min
Updates 143250, num timesteps 91680640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04012, value loss 0.54848, policy loss -0.00515, distill_loss -282.97690, time 1039.03151 min
Updates 143260, num timesteps 91687040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04076, value loss 0.97000, policy loss 0.01116, distill_loss -257.83698, time 1039.08368 min
Updates 143270, num timesteps 91693440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03763, value loss 1.18669, policy loss 0.00965, distill_loss -260.96790, time 1039.16705 min
Updates 143280, num timesteps 91699840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06103, value loss 1.51953, policy loss -0.02130, distill_loss -263.56955, time 1039.23409 min
Updates 143290, num timesteps 91706240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04977, value loss 0.70774, policy loss 0.00211, distill_loss -271.15717, time 1039.28839 min
Updates 143300, num timesteps 91712640, FPS 1470, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 0.06473, value loss 1.32732, policy loss 0.00309, distill_loss -271.83835, time 1039.36557 min
Updates 143310, num timesteps 91719040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06855, value loss 1.17562, policy loss -0.06632, distill_loss -274.43915, time 1039.72116 min
Updates 143320, num timesteps 91725440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05788, value loss 0.47164, policy loss -0.00732, distill_loss -268.85431, time 1039.80955 min
Updates 143330, num timesteps 91731840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03925, value loss 0.94251, policy loss -0.00416, distill_loss -283.30188, time 1039.86173 min
Updates 143340, num timesteps 91738240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03069, value loss 0.52234, policy loss 0.01257, distill_loss -255.50320, time 1039.91466 min
Updates 143350, num timesteps 91744640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.05990, value loss 0.99176, policy loss 0.01368, distill_loss -301.05823, time 1039.96633 min
Updates 143360, num timesteps 91751040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03090, value loss 0.44714, policy loss -0.00666, distill_loss -285.34222, time 1040.02004 min
Updates 143370, num timesteps 91757440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05139, value loss 1.10230, policy loss 0.00391, distill_loss -289.84824, time 1040.07233 min
Updates 143380, num timesteps 91763840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.02815, value loss 0.97819, policy loss -0.00495, distill_loss -257.43103, time 1040.12368 min
Updates 143390, num timesteps 91770240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03950, value loss 1.11618, policy loss 0.01550, distill_loss -270.72171, time 1040.17845 min
Updates 143400, num timesteps 91776640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03404, value loss 1.21155, policy loss -0.01630, distill_loss -266.87030, time 1040.23496 min
Updates 143410, num timesteps 91783040, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.03474, value loss 0.63066, policy loss -0.00125, distill_loss -280.33691, time 1040.58657 min
Updates 143420, num timesteps 91789440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06942, value loss 1.23839, policy loss -0.00487, distill_loss -267.37103, time 1040.63722 min
Updates 143430, num timesteps 91795840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04665, value loss 0.87588, policy loss 0.00237, distill_loss -266.90302, time 1040.68925 min
Updates 143440, num timesteps 91802240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06978, value loss 0.71058, policy loss 0.02754, distill_loss -257.61969, time 1040.74028 min
Updates 143450, num timesteps 91808640, FPS 1470, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.06267, value loss 1.24269, policy loss -0.02318, distill_loss -268.84631, time 1040.79298 min
Updates 143460, num timesteps 91815040, FPS 1470, mean/median reward -19.8/-20.0, min/max reward -20.0/-9.0, entropy 0.05390, value loss 1.25910, policy loss 0.00175, distill_loss -266.55743, time 1040.84861 min
Updates 143470, num timesteps 91821440, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04941, value loss 0.64366, policy loss 0.00251, distill_loss -258.33783, time 1040.92716 min
Updates 143480, num timesteps 91827840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06035, value loss 0.59434, policy loss -0.02039, distill_loss -261.66751, time 1040.97925 min
Updates 143490, num timesteps 91834240, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05652, value loss 0.91022, policy loss 0.00102, distill_loss -297.62408, time 1041.03454 min
Updates 143500, num timesteps 91840640, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.06008, value loss 0.47986, policy loss 0.00190, distill_loss -277.42215, time 1041.11845 min
Updates 143510, num timesteps 91847040, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.08297, value loss 0.75477, policy loss 0.01213, distill_loss -289.02386, time 1041.47223 min
Updates 143520, num timesteps 91853440, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05109, value loss 0.89064, policy loss -0.00251, distill_loss -276.78680, time 1041.52511 min
Updates 143530, num timesteps 91859840, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07293, value loss 1.18901, policy loss -0.01319, distill_loss -273.10059, time 1041.57765 min
Updates 143540, num timesteps 91866240, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06706, value loss 1.20161, policy loss 0.01330, distill_loss -266.67444, time 1041.63206 min
Updates 143550, num timesteps 91872640, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.04530, value loss 0.88290, policy loss -0.00667, distill_loss -288.03137, time 1041.68723 min
Updates 143560, num timesteps 91879040, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06293, value loss 1.17258, policy loss -0.02571, distill_loss -267.56384, time 1041.74260 min
Updates 143570, num timesteps 91885440, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.04882, value loss 1.19403, policy loss 0.01036, distill_loss -262.12817, time 1041.79476 min
Updates 143580, num timesteps 91891840, FPS 1470, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05585, value loss 0.45664, policy loss -0.00567, distill_loss -270.50711, time 1041.84892 min
Updates 143590, num timesteps 91898240, FPS 1470, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.08947, value loss 0.60143, policy loss -0.02999, distill_loss -258.69092, time 1041.90267 min
Updates 143600, num timesteps 91904640, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.08266, value loss 0.60072, policy loss 0.01288, distill_loss -268.90900, time 1042.02030 min
Updates 143610, num timesteps 91911040, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07586, value loss 1.10763, policy loss 0.01544, distill_loss -259.19012, time 1042.37170 min
Updates 143620, num timesteps 91917440, FPS 1469, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.05621, value loss 0.66792, policy loss 0.01552, distill_loss -261.29462, time 1042.42348 min
Updates 143630, num timesteps 91923840, FPS 1469, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.03972, value loss 0.97440, policy loss -0.01168, distill_loss -265.87775, time 1042.47918 min
Updates 143640, num timesteps 91930240, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06759, value loss 1.49085, policy loss -0.00628, distill_loss -266.22772, time 1042.53296 min
Updates 143650, num timesteps 91936640, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05507, value loss 1.05439, policy loss 0.01102, distill_loss -262.70071, time 1042.58593 min
Updates 143660, num timesteps 91943040, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07288, value loss 0.58958, policy loss -0.01589, distill_loss -266.55658, time 1042.64098 min
Updates 143670, num timesteps 91949440, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05113, value loss 0.70557, policy loss 0.00766, distill_loss -299.83054, time 1042.69368 min
Updates 143680, num timesteps 91955840, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.06951, value loss 1.40944, policy loss -0.04848, distill_loss -270.54456, time 1042.74447 min
Updates 143690, num timesteps 91962240, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.08875, value loss 1.20639, policy loss -0.02480, distill_loss -277.19562, time 1042.79651 min
Updates 143700, num timesteps 91968640, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-20.0, entropy 0.08326, value loss 0.73207, policy loss -0.00577, distill_loss -285.77222, time 1042.87274 min
Updates 143710, num timesteps 91975040, FPS 1469, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.05600, value loss 0.95046, policy loss -0.01511, distill_loss -260.28336, time 1043.22105 min
Updates 143720, num timesteps 91981440, FPS 1469, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.06218, value loss 1.67063, policy loss 0.00503, distill_loss -276.16306, time 1043.27485 min
