command line args: main.py --env-name MsPacmanNoFrameskip-v0 --algo a2c --num-stack 4 --train-on-200x160-pixel --port 5026 --log-dir /tmp/a2c_mspacman --num-processes 128
Updates 0, num timesteps 640, FPS 398, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.18486, value loss 0.01736, policy loss 0.21304, time 0.02680 min
Updates 74360, num timesteps 47591040, FPS 285, mean/median reward 34.3/10.0, min/max reward 0.0/132.0, entropy 1.91904, value loss 0.07478, policy loss -0.02019, time 2780.72511 min
Updates 74370, num timesteps 47597440, FPS 285, mean/median reward 32.8/10.0, min/max reward 0.0/150.0, entropy 1.88631, value loss 0.15408, policy loss 0.01795, time 2781.01765 min
Updates 74380, num timesteps 47603840, FPS 285, mean/median reward 34.8/11.0, min/max reward 0.0/150.0, entropy 1.86295, value loss 0.06619, policy loss -0.14931, time 2781.31112 min
Updates 74390, num timesteps 47610240, FPS 285, mean/median reward 34.9/11.0, min/max reward 0.0/150.0, entropy 1.83649, value loss 0.04827, policy loss 0.00473, time 2781.60827 min
Updates 74400, num timesteps 47616640, FPS 285, mean/median reward 34.2/13.0, min/max reward 0.0/150.0, entropy 1.89787, value loss 0.05245, policy loss -0.01041, time 2781.90106 min
Updates 74410, num timesteps 47623040, FPS 285, mean/median reward 32.9/12.0, min/max reward 0.0/150.0, entropy 1.82100, value loss 0.06298, policy loss -0.03360, time 2782.21459 min
Updates 74420, num timesteps 47629440, FPS 285, mean/median reward 33.1/11.0, min/max reward 0.0/150.0, entropy 1.87663, value loss 0.02047, policy loss -0.05187, time 2782.51330 min
Updates 74430, num timesteps 47635840, FPS 285, mean/median reward 33.1/11.0, min/max reward 0.0/150.0, entropy 1.90403, value loss 0.04801, policy loss -0.03685, time 2782.80756 min
Updates 74440, num timesteps 47642240, FPS 285, mean/median reward 32.1/12.0, min/max reward 0.0/150.0, entropy 1.83356, value loss 0.06424, policy loss 0.00079, time 2783.09911 min
Updates 74450, num timesteps 47648640, FPS 285, mean/median reward 31.9/13.0, min/max reward 0.0/150.0, entropy 1.86375, value loss 0.07044, policy loss 0.00415, time 2783.38560 min
Updates 74460, num timesteps 47655040, FPS 285, mean/median reward 30.9/12.0, min/max reward 0.0/150.0, entropy 1.85563, value loss 0.03168, policy loss -0.01795, time 2783.67582 min
Updates 74470, num timesteps 47661440, FPS 285, mean/median reward 30.5/11.0, min/max reward 0.0/150.0, entropy 1.82366, value loss 0.07390, policy loss -0.04047, time 2783.96739 min
Updates 74480, num timesteps 47667840, FPS 285, mean/median reward 28.7/10.0, min/max reward 0.0/148.0, entropy 1.81999, value loss 0.04227, policy loss -0.01541, time 2784.25526 min
Updates 74490, num timesteps 47674240, FPS 285, mean/median reward 28.9/11.0, min/max reward 0.0/148.0, entropy 1.85584, value loss 0.12462, policy loss 0.03810, time 2784.56201 min
Updates 74500, num timesteps 47680640, FPS 285, mean/median reward 29.1/11.0, min/max reward 0.0/148.0, entropy 1.82475, value loss 0.03006, policy loss -0.01186, time 2784.87103 min
Updates 74510, num timesteps 47687040, FPS 285, mean/median reward 29.8/11.0, min/max reward 0.0/148.0, entropy 1.82718, value loss 0.03557, policy loss 0.00902, time 2785.18379 min
Updates 74520, num timesteps 47693440, FPS 285, mean/median reward 29.8/11.0, min/max reward 0.0/148.0, entropy 1.84026, value loss 0.04966, policy loss -0.05928, time 2785.47046 min
Updates 74530, num timesteps 47699840, FPS 285, mean/median reward 29.4/10.0, min/max reward 0.0/148.0, entropy 1.90193, value loss 0.02523, policy loss -0.01857, time 2785.76970 min
Updates 74540, num timesteps 47706240, FPS 285, mean/median reward 29.3/10.0, min/max reward 0.0/148.0, entropy 1.80122, value loss 0.05177, policy loss -0.00598, time 2786.05926 min
Updates 74550, num timesteps 47712640, FPS 285, mean/median reward 29.0/10.0, min/max reward 0.0/148.0, entropy 1.82781, value loss 0.03711, policy loss 0.01151, time 2786.35587 min
Updates 74560, num timesteps 47719040, FPS 285, mean/median reward 28.5/10.0, min/max reward 0.0/148.0, entropy 1.85711, value loss 0.06103, policy loss -0.08851, time 2786.64433 min
Updates 74570, num timesteps 47725440, FPS 285, mean/median reward 28.4/10.0, min/max reward 0.0/148.0, entropy 1.87071, value loss 0.20243, policy loss 0.07676, time 2786.93774 min
Updates 74580, num timesteps 47731840, FPS 285, mean/median reward 26.5/9.0, min/max reward 0.0/145.0, entropy 1.83626, value loss 0.02741, policy loss -0.05153, time 2787.22984 min
Updates 74590, num timesteps 47738240, FPS 285, mean/median reward 27.0/9.0, min/max reward 0.0/145.0, entropy 1.86010, value loss 0.06711, policy loss -0.02601, time 2787.53150 min
Updates 74600, num timesteps 47744640, FPS 285, mean/median reward 28.0/9.0, min/max reward 0.0/145.0, entropy 1.89710, value loss 0.07628, policy loss -0.03638, time 2787.83223 min
Updates 74610, num timesteps 47751040, FPS 285, mean/median reward 28.3/9.0, min/max reward 0.0/135.0, entropy 1.84652, value loss 0.05670, policy loss 0.00384, time 2788.14520 min
Updates 74620, num timesteps 47757440, FPS 285, mean/median reward 30.8/10.0, min/max reward 0.0/135.0, entropy 1.90719, value loss 0.05102, policy loss 0.02652, time 2788.44247 min
Updates 74630, num timesteps 47763840, FPS 285, mean/median reward 30.4/10.0, min/max reward 0.0/144.0, entropy 1.87478, value loss 0.07559, policy loss -0.01371, time 2788.73468 min
Updates 74640, num timesteps 47770240, FPS 285, mean/median reward 30.6/10.0, min/max reward 0.0/144.0, entropy 1.83136, value loss 0.03340, policy loss 0.03783, time 2789.02216 min
Updates 74650, num timesteps 47776640, FPS 285, mean/median reward 31.6/10.0, min/max reward 0.0/144.0, entropy 1.82987, value loss 0.26749, policy loss 0.07045, time 2789.31896 min
Updates 74660, num timesteps 47783040, FPS 285, mean/median reward 31.4/11.0, min/max reward 0.0/144.0, entropy 1.83522, value loss 0.04317, policy loss -0.04148, time 2789.60584 min
Updates 74670, num timesteps 47789440, FPS 285, mean/median reward 34.3/13.0, min/max reward 0.0/149.0, entropy 1.83970, value loss 0.04319, policy loss -0.00534, time 2789.89840 min
Updates 74680, num timesteps 47795840, FPS 285, mean/median reward 32.9/11.0, min/max reward 0.0/149.0, entropy 1.86179, value loss 0.11842, policy loss 0.00946, time 2790.18844 min
Updates 74690, num timesteps 47802240, FPS 285, mean/median reward 33.9/13.0, min/max reward 0.0/149.0, entropy 1.80229, value loss 0.05927, policy loss 0.04727, time 2790.48055 min
Updates 74700, num timesteps 47808640, FPS 285, mean/median reward 34.4/13.0, min/max reward 0.0/149.0, entropy 1.82887, value loss 0.03281, policy loss 0.00257, time 2790.78252 min
Updates 74710, num timesteps 47815040, FPS 285, mean/median reward 34.7/13.0, min/max reward 0.0/149.0, entropy 1.89105, value loss 0.05497, policy loss -0.01109, time 2791.09468 min
Updates 74720, num timesteps 47821440, FPS 285, mean/median reward 32.8/13.0, min/max reward 0.0/149.0, entropy 1.81954, value loss 0.03626, policy loss -0.01296, time 2791.38474 min
Updates 74730, num timesteps 47827840, FPS 285, mean/median reward 33.4/13.0, min/max reward 0.0/149.0, entropy 1.85012, value loss 0.06257, policy loss 0.02267, time 2791.67870 min
Updates 74740, num timesteps 47834240, FPS 285, mean/median reward 31.9/13.0, min/max reward 0.0/149.0, entropy 1.87034, value loss 0.03714, policy loss 0.02303, time 2791.98329 min
Updates 74750, num timesteps 47840640, FPS 285, mean/median reward 33.1/13.0, min/max reward 0.0/149.0, entropy 1.86394, value loss 0.05567, policy loss -0.01911, time 2792.27442 min
Updates 74760, num timesteps 47847040, FPS 285, mean/median reward 32.1/13.0, min/max reward 0.0/149.0, entropy 1.84550, value loss 0.08644, policy loss 0.02825, time 2792.56124 min
Updates 74770, num timesteps 47853440, FPS 285, mean/median reward 32.5/13.0, min/max reward 0.0/149.0, entropy 1.88572, value loss 0.07387, policy loss 0.04519, time 2792.84534 min
Updates 74780, num timesteps 47859840, FPS 285, mean/median reward 34.5/13.0, min/max reward 0.0/149.0, entropy 1.86980, value loss 0.04651, policy loss -0.02300, time 2793.13442 min
Updates 74790, num timesteps 47866240, FPS 285, mean/median reward 34.8/13.0, min/max reward 0.0/145.0, entropy 1.86786, value loss 0.04417, policy loss -0.02753, time 2793.42930 min
Updates 74800, num timesteps 47872640, FPS 285, mean/median reward 34.6/13.0, min/max reward 0.0/145.0, entropy 1.90348, value loss 0.05781, policy loss 0.03719, time 2793.72152 min
Updates 74810, num timesteps 47879040, FPS 285, mean/median reward 35.4/13.0, min/max reward 0.0/145.0, entropy 1.87429, value loss 0.07406, policy loss 0.02963, time 2794.03079 min
Updates 74820, num timesteps 47885440, FPS 285, mean/median reward 36.4/14.0, min/max reward 0.0/145.0, entropy 1.83463, value loss 0.06852, policy loss -0.02145, time 2794.32278 min
Updates 74830, num timesteps 47891840, FPS 285, mean/median reward 37.0/14.0, min/max reward 0.0/141.0, entropy 1.82937, value loss 0.04184, policy loss 0.01790, time 2794.61957 min
Updates 74840, num timesteps 47898240, FPS 285, mean/median reward 35.6/14.0, min/max reward 0.0/141.0, entropy 1.86867, value loss 0.04848, policy loss 0.02895, time 2794.91190 min
Updates 74850, num timesteps 47904640, FPS 285, mean/median reward 38.0/15.0, min/max reward 0.0/141.0, entropy 1.92104, value loss 0.10119, policy loss -0.02097, time 2795.19986 min
Updates 74860, num timesteps 47911040, FPS 285, mean/median reward 36.3/14.0, min/max reward 0.0/141.0, entropy 1.86091, value loss 0.09115, policy loss -0.06054, time 2795.48798 min
Updates 74870, num timesteps 47917440, FPS 285, mean/median reward 36.6/14.0, min/max reward 0.0/141.0, entropy 1.35825, value loss 0.15131, policy loss 0.02143, time 2795.77801 min
Updates 74880, num timesteps 47923840, FPS 285, mean/median reward 35.5/14.0, min/max reward 0.0/141.0, entropy 1.85488, value loss 0.04347, policy loss 0.02280, time 2796.07702 min
Updates 74890, num timesteps 47930240, FPS 285, mean/median reward 35.7/14.0, min/max reward 0.0/141.0, entropy 1.82318, value loss 0.14830, policy loss -0.02406, time 2796.36809 min
Updates 74900, num timesteps 47936640, FPS 285, mean/median reward 34.0/13.0, min/max reward 0.0/141.0, entropy 1.88623, value loss 0.13676, policy loss 0.01432, time 2796.67991 min
Updates 74910, num timesteps 47943040, FPS 285, mean/median reward 32.6/13.0, min/max reward 0.0/139.0, entropy 1.90769, value loss 0.03727, policy loss -0.03196, time 2796.98902 min
Updates 74920, num timesteps 47949440, FPS 285, mean/median reward 31.3/13.0, min/max reward 0.0/139.0, entropy 1.86838, value loss 0.04237, policy loss 0.01582, time 2797.27340 min
Updates 74930, num timesteps 47955840, FPS 285, mean/median reward 34.3/14.0, min/max reward 0.0/144.0, entropy 1.88799, value loss 0.02626, policy loss -0.02378, time 2797.56494 min
Updates 74940, num timesteps 47962240, FPS 285, mean/median reward 35.2/14.0, min/max reward 0.0/144.0, entropy 1.85168, value loss 0.04816, policy loss 0.03775, time 2797.86356 min
Updates 74950, num timesteps 47968640, FPS 285, mean/median reward 34.3/14.0, min/max reward 0.0/144.0, entropy 1.87374, value loss 0.04491, policy loss 0.00231, time 2798.15607 min
Updates 74960, num timesteps 47975040, FPS 285, mean/median reward 32.9/13.0, min/max reward 0.0/144.0, entropy 1.85638, value loss 0.09553, policy loss 0.01710, time 2798.45161 min
Updates 74970, num timesteps 47981440, FPS 285, mean/median reward 32.1/13.0, min/max reward 0.0/144.0, entropy 1.85505, value loss 0.05098, policy loss -0.03464, time 2798.74690 min
Updates 74980, num timesteps 47987840, FPS 285, mean/median reward 32.4/13.0, min/max reward 0.0/144.0, entropy 1.84361, value loss 0.03456, policy loss 0.04944, time 2799.02978 min
Updates 74990, num timesteps 47994240, FPS 285, mean/median reward 32.0/13.0, min/max reward 0.0/144.0, entropy 1.90016, value loss 0.12274, policy loss -0.03227, time 2799.31586 min
Updates 75000, num timesteps 48000640, FPS 285, mean/median reward 31.0/13.0, min/max reward 0.0/144.0, entropy 1.84950, value loss 0.03691, policy loss -0.00860, time 2799.61610 min
Updates 75010, num timesteps 48007040, FPS 285, mean/median reward 31.6/14.0, min/max reward 0.0/144.0, entropy 1.84185, value loss 0.03920, policy loss -0.07278, time 2799.92616 min
Updates 75020, num timesteps 48013440, FPS 285, mean/median reward 31.1/13.0, min/max reward 0.0/144.0, entropy 1.85975, value loss 0.03846, policy loss 0.04300, time 2800.21318 min
Updates 75030, num timesteps 48019840, FPS 285, mean/median reward 30.4/13.0, min/max reward 0.0/144.0, entropy 1.87591, value loss 0.05099, policy loss 0.01899, time 2800.50059 min
Updates 75040, num timesteps 48026240, FPS 285, mean/median reward 27.8/11.0, min/max reward 0.0/144.0, entropy 1.85955, value loss 0.15424, policy loss -0.00485, time 2800.78690 min
Updates 75050, num timesteps 48032640, FPS 285, mean/median reward 27.7/11.0, min/max reward 0.0/133.0, entropy 1.89431, value loss 0.17094, policy loss 0.06905, time 2801.07559 min
Updates 75060, num timesteps 48039040, FPS 285, mean/median reward 29.5/13.0, min/max reward 0.0/133.0, entropy 1.86347, value loss 0.06312, policy loss -0.03535, time 2801.36912 min
Updates 75070, num timesteps 48045440, FPS 285, mean/median reward 31.8/14.0, min/max reward 0.0/150.0, entropy 1.88167, value loss 0.03673, policy loss 0.02006, time 2801.68438 min
Updates 75080, num timesteps 48051840, FPS 285, mean/median reward 31.8/14.0, min/max reward 0.0/150.0, entropy 1.82126, value loss 0.27612, policy loss 0.11046, time 2801.96930 min
Updates 75090, num timesteps 48058240, FPS 285, mean/median reward 34.0/14.0, min/max reward 0.0/151.0, entropy 1.86050, value loss 0.06368, policy loss -0.06856, time 2802.26293 min
Updates 75100, num timesteps 48064640, FPS 285, mean/median reward 34.8/14.0, min/max reward 0.0/151.0, entropy 1.80116, value loss 0.04088, policy loss 0.01714, time 2802.58314 min
Updates 75110, num timesteps 48071040, FPS 285, mean/median reward 35.1/14.0, min/max reward 0.0/151.0, entropy 1.85285, value loss 0.14013, policy loss 0.04784, time 2802.89577 min
Updates 75120, num timesteps 48077440, FPS 285, mean/median reward 35.1/14.0, min/max reward 0.0/151.0, entropy 1.86398, value loss 0.13643, policy loss 0.06807, time 2803.20562 min
Updates 75130, num timesteps 48083840, FPS 285, mean/median reward 34.7/14.0, min/max reward 0.0/151.0, entropy 1.85563, value loss 0.04902, policy loss -0.03788, time 2803.49178 min
Updates 75140, num timesteps 48090240, FPS 285, mean/median reward 36.1/14.0, min/max reward 0.0/151.0, entropy 1.89013, value loss 0.06782, policy loss 0.07133, time 2803.78901 min
Updates 75150, num timesteps 48096640, FPS 285, mean/median reward 33.8/14.0, min/max reward 0.0/151.0, entropy 1.81618, value loss 0.06960, policy loss -0.10103, time 2804.08238 min
Updates 75160, num timesteps 48103040, FPS 285, mean/median reward 35.2/14.0, min/max reward 0.0/151.0, entropy 1.87935, value loss 0.14660, policy loss 0.00638, time 2804.37369 min
Updates 75170, num timesteps 48109440, FPS 285, mean/median reward 34.9/14.0, min/max reward 0.0/151.0, entropy 1.84252, value loss 0.04424, policy loss -0.04528, time 2804.67187 min
Updates 75180, num timesteps 48115840, FPS 285, mean/median reward 32.6/13.0, min/max reward 0.0/151.0, entropy 1.88168, value loss 0.07006, policy loss -0.07557, time 2804.96097 min
Updates 75190, num timesteps 48122240, FPS 285, mean/median reward 31.4/13.0, min/max reward 0.0/150.0, entropy 1.83858, value loss 0.03980, policy loss 0.02999, time 2805.25453 min
Updates 75200, num timesteps 48128640, FPS 285, mean/median reward 31.6/13.0, min/max reward 0.0/150.0, entropy 1.87319, value loss 0.06996, policy loss 0.01829, time 2805.55728 min
Updates 75210, num timesteps 48135040, FPS 285, mean/median reward 31.2/13.0, min/max reward 0.0/150.0, entropy 1.80449, value loss 0.03196, policy loss -0.00625, time 2805.86352 min
Updates 75220, num timesteps 48141440, FPS 285, mean/median reward 32.3/13.0, min/max reward 0.0/150.0, entropy 1.83297, value loss 0.08648, policy loss -0.01109, time 2806.15489 min
Updates 75230, num timesteps 48147840, FPS 285, mean/median reward 32.3/13.0, min/max reward 0.0/150.0, entropy 1.87047, value loss 0.07476, policy loss 0.01827, time 2806.43981 min
Updates 75240, num timesteps 48154240, FPS 285, mean/median reward 33.5/14.0, min/max reward 0.0/150.0, entropy 1.81444, value loss 0.07669, policy loss -0.03669, time 2806.72769 min
Updates 75250, num timesteps 48160640, FPS 285, mean/median reward 34.3/14.0, min/max reward 0.0/150.0, entropy 1.82937, value loss 0.08707, policy loss -0.00866, time 2807.01623 min
Updates 75260, num timesteps 48167040, FPS 285, mean/median reward 31.5/14.0, min/max reward 0.0/150.0, entropy 1.83255, value loss 0.10488, policy loss 0.03046, time 2807.30903 min
Updates 75270, num timesteps 48173440, FPS 285, mean/median reward 30.5/12.0, min/max reward 0.0/150.0, entropy 1.82707, value loss 0.10505, policy loss -0.03124, time 2807.60027 min
Updates 75280, num timesteps 48179840, FPS 285, mean/median reward 28.7/12.0, min/max reward 0.0/150.0, entropy 1.86317, value loss 0.03924, policy loss 0.02693, time 2807.89119 min
Updates 75290, num timesteps 48186240, FPS 285, mean/median reward 28.9/13.0, min/max reward 0.0/150.0, entropy 1.81660, value loss 0.03161, policy loss -0.04926, time 2808.18574 min
Updates 75300, num timesteps 48192640, FPS 285, mean/median reward 28.1/12.0, min/max reward 0.0/141.0, entropy 1.82529, value loss 0.16360, policy loss 0.05152, time 2808.48206 min
Updates 75310, num timesteps 48199040, FPS 286, mean/median reward 28.4/12.0, min/max reward 0.0/141.0, entropy 1.83113, value loss 0.05145, policy loss -0.02272, time 2808.78871 min
Updates 75320, num timesteps 48205440, FPS 286, mean/median reward 29.9/12.0, min/max reward 0.0/141.0, entropy 1.83110, value loss 0.05553, policy loss -0.06517, time 2809.07919 min
Updates 75330, num timesteps 48211840, FPS 286, mean/median reward 32.0/14.0, min/max reward 0.0/141.0, entropy 1.84647, value loss 0.05069, policy loss -0.05286, time 2809.37031 min
Updates 75340, num timesteps 48218240, FPS 286, mean/median reward 34.5/14.0, min/max reward 0.0/141.0, entropy 1.83276, value loss 0.02445, policy loss -0.02974, time 2809.68142 min
Updates 75350, num timesteps 48224640, FPS 286, mean/median reward 34.2/14.0, min/max reward 0.0/141.0, entropy 1.84141, value loss 0.03976, policy loss 0.04204, time 2809.97217 min
Updates 75360, num timesteps 48231040, FPS 286, mean/median reward 35.6/17.0, min/max reward 0.0/141.0, entropy 1.84505, value loss 0.04601, policy loss -0.02440, time 2810.27950 min
Updates 75370, num timesteps 48237440, FPS 286, mean/median reward 34.3/17.0, min/max reward 0.0/141.0, entropy 1.84023, value loss 0.07199, policy loss 0.04930, time 2810.56691 min
Updates 75380, num timesteps 48243840, FPS 286, mean/median reward 33.4/17.0, min/max reward 0.0/141.0, entropy 1.81669, value loss 0.10058, policy loss 0.03999, time 2810.86072 min
Updates 75390, num timesteps 48250240, FPS 286, mean/median reward 31.9/14.0, min/max reward 0.0/141.0, entropy 1.82163, value loss 0.04366, policy loss -0.01025, time 2811.15192 min
Updates 75400, num timesteps 48256640, FPS 286, mean/median reward 34.3/14.0, min/max reward 0.0/141.0, entropy 1.78873, value loss 0.04166, policy loss -0.00531, time 2811.44549 min
Updates 75410, num timesteps 48263040, FPS 286, mean/median reward 34.2/14.0, min/max reward 0.0/140.0, entropy 1.85983, value loss 0.04224, policy loss 0.03664, time 2811.75899 min
Updates 75420, num timesteps 48269440, FPS 286, mean/median reward 33.6/14.0, min/max reward 0.0/140.0, entropy 1.80019, value loss 0.11362, policy loss -0.01685, time 2812.05153 min
Updates 75430, num timesteps 48275840, FPS 286, mean/median reward 34.5/14.0, min/max reward 0.0/146.0, entropy 1.78921, value loss 0.04497, policy loss -0.01174, time 2812.33803 min
Updates 75440, num timesteps 48282240, FPS 286, mean/median reward 35.7/14.0, min/max reward 0.0/146.0, entropy 1.80436, value loss 0.07056, policy loss 0.06214, time 2812.62899 min
Updates 75450, num timesteps 48288640, FPS 286, mean/median reward 36.4/14.0, min/max reward 0.0/150.0, entropy 1.82439, value loss 0.05991, policy loss -0.05981, time 2812.91149 min
Updates 75460, num timesteps 48295040, FPS 286, mean/median reward 38.0/14.0, min/max reward 0.0/150.0, entropy 1.83487, value loss 0.02347, policy loss -0.00880, time 2813.20664 min
Updates 75470, num timesteps 48301440, FPS 286, mean/median reward 39.2/18.0, min/max reward 0.0/150.0, entropy 1.77466, value loss 0.12781, policy loss 0.04311, time 2813.49797 min
Updates 75480, num timesteps 48307840, FPS 286, mean/median reward 37.9/17.0, min/max reward 0.0/150.0, entropy 1.78570, value loss 0.18237, policy loss 0.03948, time 2813.79251 min
Updates 75490, num timesteps 48314240, FPS 286, mean/median reward 37.4/17.0, min/max reward 0.0/150.0, entropy 1.74523, value loss 0.03571, policy loss 0.00720, time 2814.08244 min
Updates 75500, num timesteps 48320640, FPS 286, mean/median reward 37.4/18.0, min/max reward 0.0/150.0, entropy 1.81676, value loss 0.04962, policy loss -0.00285, time 2814.39830 min
Updates 75510, num timesteps 48327040, FPS 286, mean/median reward 36.3/18.0, min/max reward 0.0/150.0, entropy 1.78895, value loss 0.03495, policy loss 0.03039, time 2814.71513 min
Updates 75520, num timesteps 48333440, FPS 286, mean/median reward 36.6/19.0, min/max reward 0.0/150.0, entropy 1.81334, value loss 0.04429, policy loss 0.03950, time 2815.00199 min
Updates 75530, num timesteps 48339840, FPS 286, mean/median reward 38.0/22.0, min/max reward 0.0/150.0, entropy 1.80723, value loss 0.06435, policy loss -0.04099, time 2815.30342 min
Updates 75540, num timesteps 48346240, FPS 286, mean/median reward 36.8/20.0, min/max reward 0.0/146.0, entropy 1.85915, value loss 0.03018, policy loss -0.03252, time 2815.59639 min
Updates 75550, num timesteps 48352640, FPS 286, mean/median reward 37.5/22.0, min/max reward 0.0/140.0, entropy 1.84112, value loss 0.18015, policy loss 0.05580, time 2815.88630 min
Updates 75560, num timesteps 48359040, FPS 286, mean/median reward 39.6/23.0, min/max reward 0.0/147.0, entropy 1.88910, value loss 0.06103, policy loss 0.00081, time 2816.17787 min
Updates 75570, num timesteps 48365440, FPS 286, mean/median reward 41.2/24.0, min/max reward 0.0/147.0, entropy 1.85305, value loss 0.06586, policy loss -0.02679, time 2816.47431 min
Updates 75580, num timesteps 48371840, FPS 286, mean/median reward 42.1/25.0, min/max reward 0.0/147.0, entropy 1.84278, value loss 0.03393, policy loss -0.02601, time 2816.76671 min
Updates 75590, num timesteps 48378240, FPS 286, mean/median reward 41.3/25.0, min/max reward 0.0/147.0, entropy 1.83693, value loss 0.03506, policy loss -0.05707, time 2817.05266 min
Updates 75600, num timesteps 48384640, FPS 286, mean/median reward 40.5/25.0, min/max reward 0.0/147.0, entropy 1.80324, value loss 0.03081, policy loss -0.00874, time 2817.36010 min
Updates 75610, num timesteps 48391040, FPS 286, mean/median reward 42.5/25.0, min/max reward 0.0/147.0, entropy 1.88920, value loss 0.03354, policy loss 0.00278, time 2817.66991 min
Updates 75620, num timesteps 48397440, FPS 286, mean/median reward 43.3/27.0, min/max reward 0.0/147.0, entropy 1.90860, value loss 0.03685, policy loss -0.03985, time 2817.95295 min
Updates 75630, num timesteps 48403840, FPS 286, mean/median reward 41.4/23.0, min/max reward 0.0/147.0, entropy 1.83989, value loss 0.05715, policy loss -0.03353, time 2818.24149 min
Updates 75640, num timesteps 48410240, FPS 286, mean/median reward 41.7/23.0, min/max reward 0.0/147.0, entropy 1.83312, value loss 0.03419, policy loss -0.00041, time 2818.53121 min
Updates 75650, num timesteps 48416640, FPS 286, mean/median reward 40.1/22.0, min/max reward 0.0/147.0, entropy 1.86270, value loss 0.17612, policy loss 0.07483, time 2818.82376 min
Updates 75660, num timesteps 48423040, FPS 286, mean/median reward 40.1/20.0, min/max reward 0.0/147.0, entropy 1.82131, value loss 0.03143, policy loss -0.03487, time 2819.11271 min
Updates 75670, num timesteps 48429440, FPS 286, mean/median reward 41.1/22.0, min/max reward 0.0/147.0, entropy 1.89922, value loss 0.04034, policy loss 0.01214, time 2819.40109 min
Updates 75680, num timesteps 48435840, FPS 286, mean/median reward 37.2/17.0, min/max reward 0.0/147.0, entropy 1.90208, value loss 0.03943, policy loss -0.01117, time 2819.69638 min
Updates 75690, num timesteps 48442240, FPS 286, mean/median reward 37.3/17.0, min/max reward 0.0/147.0, entropy 1.88595, value loss 0.04380, policy loss -0.06306, time 2819.98632 min
Updates 75700, num timesteps 48448640, FPS 286, mean/median reward 37.9/17.0, min/max reward 0.0/147.0, entropy 1.87345, value loss 0.03300, policy loss -0.04758, time 2820.27798 min
Updates 75710, num timesteps 48455040, FPS 286, mean/median reward 37.0/15.0, min/max reward 0.0/147.0, entropy 1.84489, value loss 0.03349, policy loss -0.00667, time 2820.58542 min
Updates 75720, num timesteps 48461440, FPS 286, mean/median reward 35.1/14.0, min/max reward 0.0/138.0, entropy 1.88035, value loss 0.13597, policy loss 0.04654, time 2820.87913 min
Updates 75730, num timesteps 48467840, FPS 286, mean/median reward 33.9/12.0, min/max reward 0.0/138.0, entropy 1.91316, value loss 0.18034, policy loss 0.09976, time 2821.16893 min
Updates 75740, num timesteps 48474240, FPS 286, mean/median reward 34.7/12.0, min/max reward 0.0/138.0, entropy 1.84183, value loss 0.06830, policy loss -0.02029, time 2821.45508 min
Updates 75750, num timesteps 48480640, FPS 286, mean/median reward 33.4/12.0, min/max reward 0.0/138.0, entropy 1.87831, value loss 0.10372, policy loss 0.04918, time 2821.74512 min
Updates 75760, num timesteps 48487040, FPS 286, mean/median reward 32.7/11.0, min/max reward 0.0/145.0, entropy 1.85384, value loss 0.04637, policy loss -0.03533, time 2822.03475 min
Updates 75770, num timesteps 48493440, FPS 286, mean/median reward 32.4/11.0, min/max reward 0.0/145.0, entropy 1.86779, value loss 0.06063, policy loss -0.01212, time 2822.32486 min
Updates 75780, num timesteps 48499840, FPS 286, mean/median reward 31.1/11.0, min/max reward 0.0/145.0, entropy 1.85126, value loss 0.07726, policy loss 0.02164, time 2822.61078 min
Updates 75790, num timesteps 48506240, FPS 286, mean/median reward 32.9/11.0, min/max reward 0.0/145.0, entropy 1.87740, value loss 0.06250, policy loss 0.00725, time 2822.90488 min
Updates 75800, num timesteps 48512640, FPS 286, mean/median reward 34.3/11.0, min/max reward 0.0/145.0, entropy 1.89408, value loss 0.06143, policy loss -0.05307, time 2823.20731 min
Updates 75810, num timesteps 48519040, FPS 286, mean/median reward 33.8/11.0, min/max reward 0.0/145.0, entropy 1.83342, value loss 0.02057, policy loss -0.00397, time 2823.52268 min
Updates 75820, num timesteps 48525440, FPS 286, mean/median reward 33.1/11.0, min/max reward 0.0/146.0, entropy 1.82052, value loss 0.08332, policy loss -0.04933, time 2823.82442 min
Updates 75830, num timesteps 48531840, FPS 286, mean/median reward 34.4/11.0, min/max reward 0.0/146.0, entropy 1.86902, value loss 0.20292, policy loss 0.07808, time 2824.11043 min
Updates 75840, num timesteps 48538240, FPS 286, mean/median reward 34.1/11.0, min/max reward 0.0/146.0, entropy 1.89882, value loss 0.04051, policy loss 0.00986, time 2824.41806 min
Updates 75850, num timesteps 48544640, FPS 286, mean/median reward 31.9/11.0, min/max reward 0.0/146.0, entropy 1.87496, value loss 0.13512, policy loss -0.01964, time 2824.70320 min
Updates 75860, num timesteps 48551040, FPS 286, mean/median reward 32.5/11.0, min/max reward 0.0/146.0, entropy 1.90009, value loss 0.05813, policy loss 0.01530, time 2824.99080 min
Updates 75870, num timesteps 48557440, FPS 286, mean/median reward 31.9/11.0, min/max reward 0.0/146.0, entropy 1.88505, value loss 0.03745, policy loss -0.02386, time 2825.29112 min
Updates 75880, num timesteps 48563840, FPS 286, mean/median reward 32.8/11.0, min/max reward 0.0/146.0, entropy 1.90339, value loss 0.05095, policy loss -0.06091, time 2825.58759 min
